parent_dir,source_dir,mode,active,rps,slo_scale,mix,raw_engine_tok_s,raw_decode_tok_s,goodput_tok_s,goodput_raw_ratio,mean_tpot_ms,overall_attain,tight_attain,normal_attain,loose_attain,tight_mean_tpot_ms,normal_mean_tpot_ms,loose_mean_tpot_ms,tight_n,normal_n,loose_n,engine_elapsed_s,total_output_tokens,attained_output_tokens,file,path
,rps6_shifted_dual_active_sweep,dual_batch_pearl,16,,,,230.3457065880318,231.39011569132617,62.91935511484061,0.2731518466170958,67.00169064637291,0.2734375,0.0,0.32710280373831774,1.0,66.20060703556946,53.11356573472217,83.44316158720775,300,107,105,565.1679031848907,130184.0,35560.0,dual_active16.json,rps6_shifted_dual_active_sweep/dual_active16.json
,rps6_shifted_dual_active_sweep,dual_batch_pearl,32,,,,402.52348329924683,405.7415276879933,89.54695587128825,0.22246392965032707,73.89881693973858,0.22265625,0.0,0.08411214953271028,1.0,72.110179308752,60.9273606268141,92.2277418423947,300,107,105,323.1935660839081,130093.0,28941.0,dual_active32.json,rps6_shifted_dual_active_sweep/dual_active32.json
,rps6_shifted_dual_active_sweep,dual_batch_pearl,64,,,,636.5610887287612,644.5830784400581,130.43566304172572,0.20490674870217268,86.97857049076717,0.205078125,0.0,0.0,1.0,85.51609541569836,71.89990268577542,106.52295123033632,300,107,105,204.26162123680115,130025.0,26643.0,dual_active64.json,rps6_shifted_dual_active_sweep/dual_active64.json
,rps6_shifted_parallel_active_sweep,parallel_pearl,8,,,,232.9736709782761,234.04147686084545,226.18580496222378,0.9708642354839949,33.29565239184459,0.970703125,0.95,1.0,1.0,32.92751161756363,26.865447204419745,40.90016846173741,300,107,105,558.496586561203,130115.0,126324.0,pearl_parallel_active8.json,rps6_shifted_parallel_active_sweep/pearl_parallel_active8.json
,rps6_shifted_parallel_active_sweep,parallel_pearl,16,,,,429.67546454192916,433.30850190975946,410.4135134868889,0.9551709309825844,35.23233697772462,0.955078125,0.9233333333333333,1.0,1.0,34.44740630894232,28.644210517469443,44.18861061469602,300,107,105,303.08456206321716,130228.0,124390.0,pearl_parallel_active16.json,rps6_shifted_parallel_active_sweep/pearl_parallel_active16.json
,rps6_shifted_serial_active_sweep,parallel_pearl,16,,,,429.6082996427283,433.23856442261166,406.9689871429027,0.9473024321954372,35.3229491878411,0.947265625,0.91,1.0,1.0,34.63465721490046,28.625715483843514,44.11429774222142,300,107,105,302.6151964664459,130006.0,123155.0,pearl_serial_active16.json,rps6_shifted_serial_active_sweep/pearl_serial_active16.json
rps6_active64_slo_scale_parallel,raw,parallel_pearl,64,,0.6,,952.0403524263253,970.060052615286,204.1963168162886,0.21448283814429028,55.04332959170081,0.21484375,0.0,0.04672897196261682,1.0,55.14625397364022,45.73201799055741,64.23792984637244,300,107,105,136.63811588287354,130085.0,27901.0,parallel_active64_sloscale0p6.json,rps6_active64_slo_scale_parallel/raw/parallel_active64_sloscale0p6.json
rps6_active64_slo_scale_parallel,raw,parallel_pearl,64,,0.8,,962.8216246850504,981.2893955283793,243.98053623078582,0.2534015958673493,54.31589717648315,0.25390625,0.0,0.2336448598130841,1.0,54.10460254494331,45.57368317740861,63.82832848470148,300,107,105,135.10913825035095,130086.0,32964.0,parallel_active64_sloscale0p8.json,rps6_active64_slo_scale_parallel/raw/parallel_active64_sloscale0p8.json
rps6_active64_slo_scale_parallel,raw,parallel_pearl,64,,1.0,,972.4416664763256,991.2582819861058,364.097644859054,0.3744159237626806,53.762692599497726,0.375,0.01,0.7850467289719626,1.0,54.200769684423,44.57112255457509,61.87769135501332,300,107,105,133.80751204490662,130120.0,48719.0,parallel_active64_sloscale1p0.json,rps6_active64_slo_scale_parallel/raw/parallel_active64_sloscale1p0.json
rps6_active64_slo_scale_parallel,raw,parallel_pearl,64,,1.2,,970.8586371080029,989.5783931950241,520.7081214130704,0.5363377339508022,53.54883219541067,0.537109375,0.23333333333333334,0.9345794392523364,1.0,53.2661171915423,44.88608207816079,63.18434423070825,300,107,105,134.11736273765564,130209.0,69836.0,parallel_active64_sloscale1p2.json,rps6_active64_slo_scale_parallel/raw/parallel_active64_sloscale1p2.json
rps6_active64_slo_scale_parallel,raw,parallel_pearl,64,,1.4,,954.4347837765957,972.5929927751397,715.6500469869915,0.7498155548724253,54.981111780295315,0.75,0.5733333333333334,1.0,1.0,54.849721135734,46.211489400777616,64.29317642769328,300,107,105,136.3319969177246,130120.0,97566.0,parallel_active64_sloscale1p4.json,rps6_active64_slo_scale_parallel/raw/parallel_active64_sloscale1p4.json
rps6_active64_slo_scale_serial,raw,serialized_pearl,64,,0.6,,740.3634359383209,751.3242371744783,76.56481325478585,0.10341517360017817,73.63966928744809,0.103515625,0.0,0.0,0.5047619047619047,71.50086792964854,64.49411428986208,89.07028635489158,300,107,105,175.87713503837585,130213.0,13466.0,serial_active64_sloscale0p6.json,rps6_active64_slo_scale_serial/raw/serial_active64_sloscale0p6.json
rps6_active64_slo_scale_serial,raw,serialized_pearl,64,,0.8,,732.0738274728029,742.758536843627,155.63441927546253,0.21259388525434542,74.37201656242785,0.212890625,0.0,0.037383177570093455,1.0,72.75251003529037,62.97415231811821,90.61414448892661,300,107,105,177.68563103675842,130079.0,27654.0,serial_active64_sloscale0p8.json,rps6_active64_slo_scale_serial/raw/serial_active64_sloscale0p8.json
rps6_active64_slo_scale_serial,raw,serialized_pearl,64,,1.0,,734.9862375274416,745.8002257127237,165.02076838978542,0.2245222562873147,74.25115834563138,0.224609375,0.0,0.09345794392523364,1.0,72.03764101036045,63.90960199946586,91.11403196106934,300,107,105,177.068621635437,130143.0,29220.0,serial_active64_sloscale1p0.json,rps6_active64_slo_scale_serial/raw/serial_active64_sloscale1p0.json
rps6_active64_slo_scale_serial,raw,serialized_pearl,64,,1.2,,740.9766754577568,751.9475365641142,210.90032888298933,0.28462478761925997,73.64596743855944,0.28515625,0.0,0.38317757009345793,1.0,71.90507862509021,62.411320306365646,90.06857588794519,300,107,105,175.54263758659363,130073.0,37022.0,serial_active64_sloscale1p2.json,rps6_active64_slo_scale_serial/raw/serial_active64_sloscale1p2.json
rps6_active64_slo_scale_serial,raw,serialized_pearl,64,,1.4,,739.6035547245266,750.5191869741803,300.2978171620067,0.4060253837934242,73.62877126578356,0.40625,0.04,0.8504672897196262,1.0,71.98882235585671,61.98366819524957,90.18125413745197,300,107,105,175.88206434249878,130083.0,52817.0,serial_active64_sloscale1p4.json,rps6_active64_slo_scale_serial/raw/serial_active64_sloscale1p4.json
rps6_mix_sweep_active64,raw,parallel_pearl,64,6,,mix433,907.3156659399616,928.3409885043416,431.7271107209326,0.47582900519376753,55.294163789626815,0.4765625,0.0,0.5844155844155844,1.0,56.072551046327725,48.28438717140342,61.27283001585682,102,77,77,71.72586393356323,65078.0,30966.0,parallel_active64_rps6_mix433.json,rps6_mix_sweep_active64/raw/parallel_active64_rps6_mix433.json
rps6_mix_sweep_active64,raw,parallel_pearl,64,6,,mix525252,922.0327954363645,946.2406388947572,410.5430446214576,0.4452586140682367,53.91860066538135,0.4453125,0.0078125,0.765625,1.0,55.02601347523473,45.97421398812604,59.64816172292989,128,64,64,70.60161018371582,65097.0,28985.0,parallel_active64_rps6_mix525252.json,rps6_mix_sweep_active64/raw/parallel_active64_rps6_mix525252.json
rps6_mix_sweep_active64,raw,parallel_pearl,64,6,,mix71515,912.4223450998626,944.4916184511553,270.7117866147249,0.2966957002626849,51.29068168944427,0.296875,0.0111731843575419,0.9210526315789473,1.0,53.32842603130159,39.67265635908417,53.25808490383464,179,38,39,71.34524965286255,65097.0,19314.0,parallel_active64_rps6_mix71515.json,rps6_mix_sweep_active64/raw/parallel_active64_rps6_mix71515.json
